Nombre Departamento;Nombre Municipio;Longitud;Latitud
ATLÁNTICO;SABANALARGA;-74,9210950072;10,6328326108
ATLÁNTICO;SANTA LUCÍA;-74,9592075848;10,3243082813
ATLÁNTICO;SANTO TOMÁS;-74,7577207286;10,7587230349
ATLÁNTICO;SOLEDAD;-74,7848339582;10,9101742784
ATLÁNTICO;SUAN;-74,8816874004;10,3354309226
ATLÁNTICO;TUBARÁ;-74,9786801062;10,8736512946
ATLÁNTICO;USIACURÍ;-74,9769840969;10,742979811
BOGOTÁ D.C.;BOGOTÁ D.C.;-74,106715324;4,64993705899
BOLÍVAR;CARTAGENA DE INDIAS;-75,4964264795;10,3849883546
BOLÍVAR;ACHÍ;-74,5575205453;8,56945622216
BOLÍVAR;ALTOS DEL ROSARIO;-74,1650526808;8,79160326038
BOLÍVAR;ARENAL;-73,9411210687;8,45862922844
BOLÍVAR;ARJONA;-75,3444876588;10,256630539
BOLÍVAR;ARROYOHONDO;-75,019214913;10,250075878
BOLÍVAR;BARRANCO DE LOBA;-74,105224848;8,94773040932
BOLÍVAR;CALAMAR;-74,9161222621;10,2503611819
BOLÍVAR;CANTAGALLO;-73,9146507991;7,37831394834
BOLÍVAR;CICUCO;-74,645585537;9,27456085808
BOLÍVAR;CÓRDOBA;-74,8274640871;9,58690944657
BOLÍVAR;CLEMENCIA;-75,3285123927;10,5675414931
BOLÍVAR;EL CARMEN DE BOLÍVAR;-75,1212066427;9,71861199322
BOLÍVAR;EL GUAMO;-74,9761147368;10,0309150057
BOLÍVAR;EL PEÑÓN;-73,9494279539;8,98822535038
BOLÍVAR;HATILLO DE LOBA;-74,0783633089;8,95561446403
BOLÍVAR;MAGANGUÉ;-74,7667304396;9,26381346247
BOLÍVAR;MAHATES;-75,1913392756;10,2332538997
BOLÍVAR;MARGARITA;-74,280926824;9,155517395
BOLÍVAR;MARÍA LA BAJA;-75,3007611748;9,98264680271
BOLÍVAR;MONTECRISTO;-74,4714158637;8,29724472765
BOLÍVAR;MOMPÓS;-74,4278652943;9,24388275745
BOLÍVAR;MORALES;-73,8681407138;8,27630560493
BOLÍVAR;NOROSÍ;-74,0380603025;8,52597866614
BOLÍVAR;PINILLOS;-74,4624038627;8,91545237529
BOLÍVAR;REGIDOR;-73,8216376256;8,66625814425
BOLÍVAR;RÍO VIEJO;-73,8399447912;8,587628771
BOLÍVAR;SAN CRISTÓBAL;-75,065534552;10,3928556679
BOLÍVAR;SAN ESTANISLAO;-75,1532584252;10,3984770306
BOLÍVAR;SAN FERNANDO;-74,3238659855;9,21417846743
BOLÍVAR;SAN JACINTO;-75,1210906283;9,8302177331
BOLÍVAR;SAN JACINTO DEL CAUCA;-74,7208279737;8,25173769531
BOLÍVAR;SAN JUAN NEPOMUCENO;-75,081354128;9,95345322129
BOLÍVAR;SAN MARTÍN DE LOBA;-74,0390124624;8,93709261013
BOLÍVAR;SAN PABLO;-73,9241717171;7,47671911473
BOLÍVAR;SANTA CATALINA;-75,2877605206;10,6050569813
BOLÍVAR;SANTA ROSA;-75,369832134;10,4443941775
BOLÍVAR;SANTA ROSA DEL SUR;-74,0518401571;7,96287055719
BOLÍVAR;SIMITÍ;-73,9467782481;7,95442830168
BOLÍVAR;SOPLAVIENTO;-75,1364262581;10,3884564354
BOLÍVAR;TALAIGUA NUEVO;-74,5674682776;9,30401724098
BOLÍVAR;TIQUISIO;-74,2635456215;8,55774228977
BOLÍVAR;TURBACO;-75,424409165;10,332772802
BOLÍVAR;TURBANÁ;-75,4425018865;10,2744001934
BOLÍVAR;VILLANUEVA;-75,2751686679;10,4443304246
BOLÍVAR;ZAMBRANO;-74,8180006807;9,74628103898
BOYACÁ;TUNJA;-73,3554896602;5,5399515492
BOYACÁ;ALMEIDA;-73,378935594;4,97085237348
BOYACÁ;AQUITANIA;-72,8839843241;5,51860567807
BOYACÁ;ARCABUCO;-73,4375431565;5,75546754184
BOYACÁ;BELÉN;-72,9116162763;5,98928041246
BOYACÁ;BERBEO;-73,1270304656;5,22728677682
BOYACÁ;BETÉITIVA;-72,809032309;5,90990555091
BOYACÁ;BOAVITA;-72,5849675798;6,33065368603
BOYACÁ;BOYACÁ;-73,3623009748;5,45423551545
BOYACÁ;BRICEÑO;-73,9232607965;5,6908769735
BOYACÁ;BUENAVISTA;-73,9423004687;5,51242923727
BOYACÁ;BUSBANZÁ;-72,8841622923;5,83139321087
BOYACÁ;CALDAS;-73,865542982;5,55457589379
BOYACÁ;CAMPOHERMOSO;-73,104168327;5,03166002315
BOYACÁ;CERINZA;-72,9482718544;5,95603263546
BOYACÁ;CHINAVITA;-73,3684756833;5,16748347348
BOYACÁ;CHIQUINQUIRÁ;-73,8183869915;5,61412836353
BOYACÁ;CHISCAS;-72,5016808693;6,5534158413
BOYACÁ;CHITA;-72,471892654;6,18708569854
BOYACÁ;CHITARAQUE;-73,4471010235;6,02742601824
BOYACÁ;CHIVATÁ;-73,2825292916;5,55894934359
BOYACÁ;CIÉNEGA;-73,296061354;5,40870037319
BOYACÁ;CÓMBITA;-73,3239523652;5,63454905762
BOYACÁ;COPER;-74,0454584503;5,47498409448
BOYACÁ;CORRALES;-72,8447949701;5,82810438505
BOYACÁ;COVARACHÍA;-72,7389763109;6,50018289986
BOYACÁ;CUBARÁ;-72,1079447106;6,99726745104
BOYACÁ;CUCAITA;-73,4543383107;5,54445121651
BOYACÁ;CUÍTIVA;-72,9659185304;5,58036631554
BOYACÁ;CHÍQUIZA;-73,4851277444;5,60541181948
BOYACÁ;CHIVOR;-73,366893755;4,88778166
BOYACÁ;DUITAMA;-73,030610836;5,82298464605
BOYACÁ;EL COCUY;-72,4447300399;6,40771564853
BOYACÁ;EL ESPINO;-72,4970129087;6,48303062085
BOYACÁ;FIRAVITOBA;-72,9933618342;5,66892506903
BOYACÁ;FLORESTA;-72,9181118071;5,85952057405
BOYACÁ;GACHANTIVÁ;-73,5490931245;5,75188848507
BOYACÁ;GÁMEZA;-72,8055270159;5,80233579091
BOYACÁ;GARAGOA;-73,3644267841;5,08324283869
BOYACÁ;GUACAMAYAS;-72,5008156901;6,45966545849
BOYACÁ;GUATEQUE;-73,4712060695;5,0073212036
BOYACÁ;GUAYATÁ;-73,4896957862;4,9671242815
BOYACÁ;GÜICÁN DE LA SIERRA;-72,411765819;6,46285998881
BOYACÁ;IZA;-72,9795593407;5,61157775921
BOYACÁ;JENESANO;-73,3638083915;5,3857721813
BOYACÁ;JERICÓ;-72,5711238428;6,14575069674
BOYACÁ;LABRANZAGRANDE;-72,5777694431;5,56268780724
BOYACÁ;LA CAPILLA;-73,4443470863;5,09568803762
BOYACÁ;LA VICTORIA;-74,2343971323;5,5237945994
BOYACÁ;LA UVITA;-72,5599870419;6,3162062521
BOYACÁ;VILLA DE LEYVA;-73,5246858959;5,63265703354
BOYACÁ;MACANAL;-73,3196492275;4,97246523201
BOYACÁ;MARIPÍ;-74,0040590487;5,55008773144
BOYACÁ;MIRAFLORES;-73,1456279863;5,19651615513
BOYACÁ;MONGUA;-72,7981001021;5,75423927382
BOYACÁ;MONGUÍ;-72,8492622931;5,72340786063
BOYACÁ;MONIQUIRÁ;-73,5733706158;5,87633305531
BOYACÁ;MOTAVITA;-73,3678389344;5,57770072028
BOYACÁ;MUZO;-74,1027542999;5,53245722089
BOYACÁ;NOBSA;-72,939853172;5,771042607
BOYACÁ;NUEVO COLÓN;-73,4571348371;5,35514851706
BOYACÁ;OICATÁ;-73,308404103;5,59523375635
BOYACÁ;OTANCHE;-74,1809678964;5,65753554395
BOYACÁ;PACHAVITA;-73,3969550834;5,14006205365
BOYACÁ;PÁEZ;-73,0525553002;5,09789282185
BOYACÁ;PAIPA;-73,1179179167;5,77994168888
BOYACÁ;PAJARITO;-72,7032202088;5,29364101567
BOYACÁ;PANQUEBA;-72,4592015449;6,44307619932
BOYACÁ;PAUNA;-73,97844971;5,65632422107
BOYACÁ;PAYA;-72,4237755806;5,6257001331
BOYACÁ;PAZ DE RÍO;-72,7491433309;5,98764091396
BOYACÁ;PESCA;-73,0508685115;5,55881131008
BOYACÁ;PISBA;-72,4859425146;5,7216213544
BOYACÁ;PUERTO BOYACÁ;-74,5877827354;5,97664715502
BOYACÁ;QUÍPAMA;-74,1800347561;5,52055370831
BOYACÁ;RAMIRIQUÍ;-73,3348676913;5,4002211245
BOYACÁ;RÁQUIRA;-73,6325018712;5,53906792025
BOYACÁ;RONDÓN;-73,2084727551;5,35740204136
BOYACÁ;SABOYÁ;-73,7646637544;5,69773271604
BOYACÁ;SÁCHICA;-73,5426340731;5,58359189812
BOYACÁ;SAMACÁ;-73,4856416273;5,49231280648
BOYACÁ;SAN EDUARDO;-73,0777254035;5,22409747529
BOYACÁ;SAN JOSÉ DE PARE;-73,5453757662;6,01897480756
BOYACÁ;SAN LUIS DE GACENO;-73,168359454;4,81969008637
BOYACÁ;SAN MATEO;-72,5552600266;6,40168195892
BOYACÁ;SAN MIGUEL DE SEMA;-73,7220038544;5,51808577641
BOYACÁ;SAN PABLO DE BORBUR;-74,0699641591;5,65067434872
BOYACÁ;SANTANA;-73,481231213;6,05741393498
BOYACÁ;SANTA MARÍA;-73,2635138961;4,85719292711
BOYACÁ;SANTA ROSA DE VITERBO;-72,9824613082;5,87455316111
BOYACÁ;SANTA SOFÍA;-73,6027094257;5,71326789499
BOYACÁ;SATIVANORTE;-72,7084627036;6,13113651918
BOYACÁ;SATIVASUR;-72,7124418159;6,09317687278
BOYACÁ;SIACHOQUE;-73,2446486951;5,51181744443
BOYACÁ;SOATÁ;-72,6840262208;6,3319109478
BOYACÁ;SOCOTÁ;-72,6366624073;6,04117646761
BOYACÁ;SOCHA;-72,6919658568;5,99671302142
BOYACÁ;SOGAMOSO;-72,9230476498;5,72568884872
BOYACÁ;SOMONDOCO;-73,4333927745;4,985727338
BOYACÁ;SORA;-73,4501549565;5,56684464415
BOYACÁ;SOTAQUIRÁ;-73,2465867116;5,76498918403
BOYACÁ;SORACÁ;-73,3328033775;5,50090450683
BOYACÁ;SUSACÓN;-72,6902910831;6,23033660169
BOYACÁ;SUTAMARCHÁN;-73,6205898779;5,61978069759
BOYACÁ;SUTATENZA;-73,4523142451;5,02298844106
BOYACÁ;TASCO;-72,7810075025;5,90981708972
BOYACÁ;TENZA;-73,4211738566;5,07677835138
BOYACÁ;TIBANÁ;-73,396456268;5,31725075558
BOYACÁ;TIBASOSA;-72,9994496769;5,74722853114
BOYACÁ;TINJACÁ;-73,6468538952;5,57971084145
BOYACÁ;TIPACOQUE;-72,693172676;6,418582881
BOYACÁ;TOCA;-73,1847912527;5,56646952357
BOYACÁ;TOGÜÍ;-73,5136559101;5,93743780547
BOYACÁ;TÓPAGA;-72,832247594;5,76819800709
BOYACÁ;TOTA;-72,9858969227;5,56050183137
BOYACÁ;TUNUNGUÁ;-73,933158144;5,730577511
BOYACÁ;TURMEQUÉ;-73,4918448747;5,32325210287
BOYACÁ;TUTA;-73,2308547731;5,68880380751
BOYACÁ;TUTAZÁ;-72,856038442;6,03261007719
BOYACÁ;ÚMBITA;-73,4569158202;5,2211724175
BOYACÁ;VENTAQUEMADA;-73,5224525403;5,36885763606
BOYACÁ;VIRACACHÁ;-73,2969005657;5,43678857653
BOYACÁ;ZETAQUIRA;-73,1709723341;5,28342464863
CALDAS;MANIZALES;-75,4910467146;5,05768733557
CALDAS;AGUADAS;-75,454871642;5,61024846724
CALDAS;ANSERMA;-75,784340784;5,23647611674
CALDAS;ARANZAZU;-75,4912889044;5,27119632374
CALDAS;BELALCÁZAR;-75,8119012073;4,99382148715
CALDAS;CHINCHINÁ;-75,6074818919;4,98581250175
CALDAS;FILADELFIA;-75,5624695597;5,29709791696
CALDAS;LA DORADA;-74,6684167053;5,46047440177
CALDAS;LA MERCED;-75,5465723441;5,3963721836
CALDAS;MANZANARES;-75,1528372887;5,25570837762
CALDAS;MARMATO;-75,6002457911;5,47400212843
CALDAS;MARQUETALIA;-75,0530937905;5,29752541271
CALDAS;MARULANDA;-75,2594017111;5,28433541214
CALDAS;NEIRA;-75,5198428283;5,16670622135
CALDAS;NORCASIA;-74,8895443807;5,57479382266
CALDAS;PÁCORA;-75,4596225837;5,52717452159
CALDAS;PALESTINA;-75,6244642214;5,01783945198
CALDAS;PENSILVANIA;-75,1603002765;5,38327868783
CALDAS;RIOSUCIO;-75,7020653762;5,42367236012
CALDAS;RISARALDA;-75,7672745412;5,16419213427
CALDAS;SALAMINA;-75,4872184576;5,40301872766
CALDAS;SAMANÁ;-74,9922442639;5,41308071675
CALDAS;SAN JOSÉ;-75,7920593314;5,08231096392
CALDAS;SUPÍA;-75,6496602648;5,44683429424
CALDAS;VICTORIA;-74,9111571246;5,31741797231
CALDAS;VILLAMARÍA;-75,513760602;5,043806686
CALDAS;VITERBO;-75,870613237;5,06266333127
CAQUETÁ;FLORENCIA;-75,6085597398;1,61792408755
CAQUETÁ;ALBANIA;-75,8783708545;1,328518696
CAQUETÁ;BELÉN DE LOS ANDAQUÍES;-75,8724736813;1,41578334458
CAQUETÁ;CARTAGENA DEL CHAIRÁ;-74,847245546;1,3331165659
CAQUETÁ;CURILLO;-75,9192010073;1,03347658287
CAQUETÁ;EL DONCELLO;-75,2835647468;1,67986937815
CAQUETÁ;EL PAUJÍL;-75,3261226748;1,57037091057
CAQUETÁ;LA MONTAÑITA;-75,4364058573;1,4791703207
CAQUETÁ;MILÁN;-75,5069587121;1,29041194077
CAQUETÁ;MORELIA;-75,7241445423;1,48661416104
CAQUETÁ;PUERTO RICO;-75,1574899204;1,90893446756
CAQUETÁ;SAN JOSÉ DEL FRAGUA;-75,9736270384;1,33009035894
CAQUETÁ;SAN VICENTE DEL CAGUÁN;-74,768675935;2,119492544
CAQUETÁ;SOLANO;-75,2537069229;0,69897426193
CAQUETÁ;SOLITA;-75,619734067;0,876668991021
CAQUETÁ;VALPARAÍSO;-75,7065851397;1,19458258545
CAUCA;POPAYÁN;-76,5988923721;2,45994897276
CAUCA;ALMAGUER;-76,8559227702;1,91336278103
CAUCA;ARGELIA;-77,2494517909;2,2567543324
CAUCA;BALBOA;-77,2158965955;2,04048647608
CAUCA;BOLÍVAR;-76,966314876;1,83741330862
CAUCA;BUENOS AIRES;-76,64227784;3,01543022433
CAUCA;CAJIBÍO;-76,5708848354;2,62334023515
CAUCA;CALDONO;-76,4844459642;2,79812829791
CAUCA;CALOTO;-76,4084869367;3,03407175083
CAUCA;CORINTO;-76,2613129114;3,17381378314
CAUCA;EL TAMBO;-76,8107676072;2,45137293838
CAUCA;FLORENCIA;-77,0725301404;1,68251705547
CAUCA;GUACHENÉ;-76,3921808995;3,13415024191
CAUCA;GUAPÍ;-77,8879701101;2,57134940647
CAUCA;INZÁ;-76,0634951224;2,54918501375
CAUCA;JAMBALÓ;-76,3238756382;2,7778396408
CAUCA;LA SIERRA;-76,7632016273;2,17932480074
CAUCA;LA VEGA;-76,7786274369;2,00178599421
CAUCA;LÓPEZ DE MICAY;-77,2476914851;2,84671477245
CAUCA;MERCADERES;-77,1641946504;1,7924236808
CAUCA;MIRANDA;-76,2285628308;3,25456871367
CAUCA;MORALES;-76,6292210027;2,75455782584
CAUCA;PADILLA;-76,3132915458;3,22084946043
CAUCA;PÁEZ;-75,971964511;2,641347053
CAUCA;PATÍA;-76,9809793181;2,11566829044
CAUCA;PIAMONTE;-76,3270881401;1,11792823066
CAUCA;PIENDAMÓ - TUNÍA;-76,5285068886;2,641987993
CAUCA;PUERTO TEJADA;-76,4173065509;3,23329388435
CAUCA;PURACÉ;-76,4965667725;2,3413936154
CAUCA;ROSAS;-76,7403500133;2,26096996661
CAUCA;SAN SEBASTIÁN;-76,7693155247;1,83837093703
CAUCA;SANTANDER DE QUILICHAO;-76,4853693048;3,0160508863
CAUCA;SANTA ROSA;-76,5739728417;1,70241741098
CAUCA;SILVIA;-76,3795694468;2,611815128
CAUCA;SOTARA;-76,6132965446;2,25313393405
CAUCA;SUÁREZ;-76,6934495691;2,95970043631
CAUCA;SUCRE;-76,9262768869;2,0382579101
CAUCA;TIMBÍO;-76,6842365775;2,34997651977
CAUCA;TIMBIQUÍ;-77,6675621458;2,77741263243
CAUCA;TORIBÍO;-76,2703068212;2,95299012669
CAUCA;TOTORÓ;-76,4036268299;2,51025062018
CAUCA;VILLA RICA;-76,4578733961;3,17757710044
CESAR;VALLEDUPAR;-73,2593904181;10,4604806696
CESAR;AGUACHICA;-73,6129927186;8,30735417168
CESAR;AGUSTÍN CODAZZI;-73,2383965158;10,040457318
CESAR;ASTREA;-73,9758629785;9,49816273938
CESAR;BECERRIL;-73,2791963317;9,70460046236
CESAR;BOSCONIA;-73,888765758;9,975094669
CESAR;CHIMICHAGUA;-73,8133298841;9,2582722175
CESAR;CHIRIGUANÁ;-73,600147529;9,36118941734
CESAR;CURUMANÍ;-73,5409854392;9,20181049336
CESAR;EL COPEY;-73,9627178522;10,1495254704
CESAR;EL PASO;-73,741788511;9,66847095606
CESAR;GAMARRA;-73,7380076768;8,32432947636
CESAR;GONZÁLEZ;-73,380042178;8,38960324723
